alpha,norm_res,norm_model
0.001,299.4622596531399,598725.0191843556
0.0013257113655901094,238.68233363853585,267718.4489977935
0.0017575106248547913,182.93346908877012,223270.70141776366
0.002329951810515372,139.18413914316122,114482.74966979401
0.0030888435964774815,92.4292546381069,98377.26437822741
0.004094915062380427,68.37742620357714,85893.40316467719
0.005428675439323859,64.3380413706434,84200.97152294006
0.0071968567300115215,39.59168602657555,83041.1186105923
0.009540954763499945,35.06938750469268,82844.79004600919
0.012648552168552958,27.607304496473674,82676.69146542605
0.016768329368110083,26.310748799568483,82640.25839064363
0.022229964825261943,28.46363777831619,82630.61141609623
0.029470517025518096,33.12580022238526,82630.3360743981
0.03906939937054617,41.54917523455416,82627.8539639462
0.0517947467923121,51.60092766601897,82626.39494895673
0.06866488450043001,63.852835042099315,82626.11233405625
0.09102981779915217,79.8230816052652,82625.87860624141
0.1206792640639329,99.61972669210533,82625.64266748923
0.15998587196060574,123.62435900627447,82625.40334167288
0.21209508879201905,153.25946425604076,82625.13031539346
0.28117686979742307,189.8603431597302,82624.82079274753
0.3727593720314938,235.08064330005294,82624.46375096096
0.49417133613238334,290.91375386694796,82624.05223300755
0.655128556859551,360.16916763272496,82623.5758030837
0.868511373751352,445.9730856241194,82623.02458805019
1.151395399326447,552.2858766536781,82622.38665763733
1.5264179671752334,683.8116916031212,82621.64946455334
2.023589647725158,846.3594555930971,82620.79867336922
2.6826957952797246,1046.8648229709997,82619.81917146932
3.5564803062231287,1293.9250684763483,82618.69349676475
4.714866363457395,1598.3436800701104,82617.40075204536
6.25055192527397,1974.0277158743804,82615.91441692406
8.286427728546842,2439.291949221383,82614.19923087832
10.985411419875572,3018.6148781179995,82612.20729530892
14.563484775012444,3744.9676891288245,82609.87322599026
19.306977288832496,4662.693028419896,82607.10866430709
25.595479226995334,5830.992444366456,82603.79605995178
33.9322177189533,7328.132758991704,82599.78151350596
44.98432668969444,9256.660455713096,82594.86609309618
59.636233165946365,11750.061710964916,82588.79488479784
79.06043210907701,14981.44142863974,82581.24292710959
104.81131341546852,19174.909249032324,82571.79709723889
138.9495494373136,24620.48432123854,82559.93289963153
184.20699693267164,31693.456981685,82544.98502405015
244.205309454865,40879.2710230324,82526.11054922394
323.745754281764,52805.15793003143,82502.24370996567
429.1934260128778,68280.06850682531,82472.04101424025
568.9866029018293,88344.9485279776,82433.81510744631
754.3120063354608,114335.89939882013,82385.4555357631
1000.0,147962.82143661255,82324.33536442598
